product_id,gender,category,sub_category,product_type,color,color_details,usage,product_title,image,price_usd,heels_height
1,men,footwear,shoes,sports shoes,black,['neon green'],sports,Adidas men eqt nitro fashion black sports shoes,1.jpg,120,
2,men,footwear,shoes,sports shoes,black,['white'],sports,Puma men's yugorun black white shoe,2.jpg,50,
3,men,footwear,shoes,boots,black,[],casual,Timberland men black casual shoes,3.jpg,60,
4,men,footwear,shoes,casual shoes,black,[],casual,Provogue men black shoes,4.jpg,125,
5,men,footwear,shoes,formal shoes,black,[],formal,Lee cooper men black shoe,5.jpg,155,
6,men,footwear,shoes,formal shoes,black,[],formal,Arrow men formal black shoe,6.jpg,180,
7,men,footwear,shoes,sports shoes,black,[],sports,Nike men's air max black shoe,7.jpg,80,
8,men,footwear,shoes,casual shoes,black,['gold'],casual,Lotto men's calcetto black brown shoe,8.jpg,175,
9,women,footwear,shoes,flats,black,['gold'],casual,Senorita women black flats,9.jpg,70,
10,women,footwear,shoes,heels,black,[],casual,Inc 5 women casual black wedges,10.jpg,160,2
11,women,footwear,shoes,casual shoes,black,['purple'],casual,Skechers women black casual shoes,11.jpg,185,
12,women,footwear,shoes,casual shoes,black,[],casual,Nike women flyclave black casual shoes,12.jpg,175,
13,women,footwear,shoes,flats,black,[],casual,Reebok women black casual shoes,13.jpg,85,
14,women,footwear,shoes,sports shoes,black,['blue'],sports,Nike women sweet ac black shoe,14.jpg,135,
15,women,footwear,shoes,heels,black,['multi'],casual,Catwalk women black wedges,15.jpg,105,1
16,women,footwear,shoes,flats,black,['brown'],casual,Rocia women black & brown flats,16.jpg,185,
17,men,footwear,shoes,sports shoes,white,['blue'],sports,Reebok men's zigfuel white shoe,17.jpg,155,
18,men,footwear,shoes,sports shoes,white,[],sports,Fila men fila boston white sports shoes,18.jpg,185,
19,men,footwear,shoes,casual shoes,white,[],casual,Nike men white capri ii casual shoe,19.jpg,155,
20,men,footwear,shoes,casual shoes,white,['blue'],casual,Numero uno men white casual shoes,20.jpg,200,
21,men,footwear,shoes,sports shoes,white,[],sports,Lotto men atlantica white sports shoe,21.jpg,170,
22,men,footwear,shoes,sports shoes,white,['black'],sports,Nike men's egoli white black shoe,22.jpg,200,
23,women,footwear,shoes,heels,white,[],casual,Catwalk women casual white heels,23.jpg,105,2
24,women,footwear,shoes,flats,white,['silver'],casual,Catwalk women casual white flats,24.jpg,75,
